Name,Label,0.958_138.05499,1.703_230.11353,14.279_441.37311,1.131_136.0618,1.176_130.08625,0.996_246.18116,11.383_279.23189,12.839_339.25073,0.827_146.16522,1.717_257.04448,11.377_297.24275,0.955_176.10289,0.958_195.08754,0.994_187.10779,8.067_459.25059,0.952_130.04988,6.343_349.18367,1.206_124.03927,14.703_324.28985,1.016_131.1179,4.8_209.12594,0.828_89.10723,0.957_87.04392,13.817_300.28988,14.019_359.29488,6.503_433.20487,0.953_148.06047,7.275_609.30993,17.565_611.1688,6.932_521.25764,0.958_115.08654,6.229_389.17857,1.134_72.08078,15.784_256.26353,3.78_217.10467,8.259_644.36091,11.547_375.28962,9.641_199.00052,13.862_281.17239,0.917_188.17574,15.644_411.36236,17.054_284.29487,14.018_322.27181,12.452_339.26843,8.724_569.33664,12.461_619.40517,11.389_343.26341,2.67_120.08075,2.709_166.0863,1.116_152.05671,16.032_282.27934,0.934_175.11893,0.964_365.10561,1.44_182.08114,4.905_173.16482,11.095_593.3341,0.868_189.15974,0.928_171.14916,14.541_85.10107,14.534_283.26331,0.901_156.04218,0.923_104.10689,11.559_248.14823,7.585_457.23363,8.42_485.28661,12.458_545.24052,11.218_391.28461,10.371_407.27952,1.209_137.0458,6.923_516.30202,1.691_86.09633,14.053_319.22445,17.562_781.1889,10.009_353.23008,12.027_460.26986,1.616_69.06995,1.593_121.06476,1.686_176.06577,1.011_118.08618,1.203_226.06864,11.567_437.26411,1.012_101.0596,1.134_154.09752,10.991_561.23552,0.966_134.08118,10.981_233.12976,0.817_147.11284,0.987_161.0921,1.204_116.07053,0.974_247.14006,0.82_147.11285,1.01_189.12335,10.33_389.26902,8.222_461.26623,0.979_146.11761,14.997_340.28475,1.196_173.09204,1.193_132.11316,1.185_146.09243,0.962_58.06524,17.573_633.15091,0.934_90.05485,0.97_120.06543,14.822_299.2582,0.972_104.0705,2.562_184.02806,16.054_425.28771,14.283_302.30548,1.069_77.05969,9.806_490.35327,1.113_141.0659,9.007_595.35003,2.469_283.09665,10.641_400.35768,5.24_188.07056,1.238_150.05837,17.588_223.06359,11.126_357.2792,10.979_253.14531,6.895_230.1399,9.382_405.26482,1.177_185.05684,13.355_315.25417,1.447_175.02483,15.805_297.24358,14.913_295.22793,1.114_134.04726,15.789_365.23087,1.233_151.02622,11.77_331.24905,11.128_283.06134,8.813_201.11332,14.009_421.2962,10.654_193.08708,8.457_243.12383,0.954_149.04557,14.005_489.27129,11.376_313.23857,12.814_309.20726,1.517_227.06743,8.048_187.09766,9.115_475.26822,14.011_505.24895,9.123_407.28054,1.026_133.01428,1.552_267.0736,7.207_173.08198,8.867_234.11364,2.658_300.04667,0.976_227.11506,2.658_164.07179,13.425_221.15476,9.149_271.0613,0.919_181.07181,2.638_147.04519,0.957_215.03285,8.243_193.05068,0.971_251.07732,0.952_59.01386,0.96_218.03323,0.938_152.05783,1.231_290.0883,12.264_311.22291,1.413_180.0667,6.133_179.03505,0.943_101.02441,8.219_137.02444,1.468_73.02952,0.972_249.01484,0.946_132.06665,11.1_591.31949,0.946_146.04592,11.581_277.18098,1.718_278.01816,11.732_195.13914,10.354_331.24917,14.517_299.25924,0.973_176.93603,1.596_125.03569,1.534_130.05101,0.965_209.06672,0.965_96.96959,12.444_391.28538,0.925_151.06124,1.468_117.01935,1.642_103.04008,10.008_329.23351,1.168_111.02005,11.35_361.16333,1.293_155.04628,1.691_130.08739,15.545_271.22796,12.833_291.1603,0.977_220.08263,1.203_135.0313,11.951_431.18434,11.992_361.16324,1.199_122.0248,1.195_174.04089,1.204_119.03503,2.09_165.04182,0.995_287.05411,10.345_451.27054,1.315_133.05068,0.96_253.093,1.366_188.05654,11.35_221.1547,9.632_297.11332,14.809_297.2436,8.928_132.04552,0.975_159.07756,7.239_183.06631,13.319_233.15474,1.204_192.98999,6.742_85.06585,0.939_132.03027,12.45_389.26992,1.637_182.04596,2.013_131.03502,7.517_217.1082,0.938_118.051,6.746_131.07141,1.294_128.03537,7.241_165.05576,12.26_437.2912,11.571_309.17089,1.229_148.04383,1.291_243.06234,1.218_142.05102,1.231_202.07271
S11,Chickpea,44397144.6,25702753,6799345.638,20420050.2,19929465,9725659.2,5373864.8,4498449,6434516.6,3200258,1730122.9,1959249.9,1420710,996413.5,51587865,3030109.3,91457285,2774190.6,2132005.707,25320744.42,16119868.62,18837065.3,746575.3,3974063,1.02E+08,76323199,5609287,250087580,0,214950606,13491109,29888669,557836710,0,118647971,69692384,14823193,21361.382,100427.78,6068043.1,2736437.06,1220963.54,2483083.775,29083553,19323271,1826374.204,2679050.2,131489763,205577520,3339070.52,404147.7,9588967.9,4.71E+06,16339790.8,17552205.23,3109.477,255280.11,250286.72,1788014,18119955,107393.05,6063346,6946265.91,17093202,1275976,10668386.4,3242115,0,657541.8,6666592,849542176,1091694.47,4972387.9,14781511,6867652,11922460.57,310744006,20710918.3,343450225,16820923,1960116.76,26477032,7267446.817,3206.3934,3393827.2,1791353,7260693.6,78271.24,3010974,391175.4,7245253.8,402591,0,6616712.9,8430764.96,1868682.4,2325876,36205.94,0,8379386,20526824.46,6055470.6,1307630.958,6492588,8277919.4,23687855,0,10562709,1264010.24,4.17E+06,65783062.65,126708.41,1412093.766,7.61E+02,10427330.72,9375222.7,2211420.666,18506245,147228.663,513822.36,0.00E+00,697124.6,3522568.57,2221625.7,6349616.6,2869303.29,36084544,1048094.27,5259046,526553.8017,1025266.667,1923151,11629520.51,781110.3,1238326.2,1191897.2,942776.671,8639389,314885.868,1237346.05,8687025,597881.0221,472790.459,2072956.494,208438.975,326850.291,1616765.5,941288.7622,571741.67,377073.21,4979549.1,16859.032,455793.843,80669.95,502235.8614,3394043.68,0,10750,405626.125,11049.791,249064.62,431228.9,7352607,718899.28,6.63E+02,122600.171,2434470,107357.65,6773.668,330955.6,425.2989,2062583.2,0,888626.2689,43392.59,1.22E+05,16827185,2967682,1.16E+05,733079.5,159682.6,248360100,305701302,5083.191,324789.9,1232014.6,19882653,3038858.5,423158.2,652966.1835,4911316.4,1035469.9,76491.24,206976.17,331271.8,83039.93,408233.6,739391.14,1871681.238,3179375,519540.9,13124.231,19486.029,382146.3,5719.603,343529,142428.1,122069.311,2065996.2,2098979.7,67888.49,631652,617877.14,3798.513,1646.6812,2076059.4,3548249.3,510756.72,840725.3,411737.23,516026.65,281204.4,43261.75,181841.61,1508017.9,140556.39,406046.42,361577.79,531669.9,1538.953
S12,Chickpea,40393051.9,28964277,6016685.27,10563156,14009582,12645672.6,4175008.5,5382423,7549028,3007898,2142468.8,3752882.3,560597,682653.8,64044713,3012901.68,95051910,4323830.3,733768.0251,1866811.49,16563975.01,1242640.8,2669289.8,19963623,4.94E+07,77094219,7619929,269434397,84925.219,233384516,16033164,30359456,498274821,0,106354961,83949826,17428888,187388.427,0,51987381.7,2753006.54,0,1221359.221,28653293,20946945,845378.278,3146376.6,90433983,139369954,0,0,524181.2,6.83E+07,12455620.4,7712077.695,663019.424,577494.71,2703539.48,4152777,44681672,18982667.67,60670024,8690611.295,17211596,4005522.1,9335940.1,9167484,1069251.5,2870398.9,7513949,684644426,3384566.5,1188063.1,15436832,4437743,9605328.07,96523868,18445865.8,35731888,14052067,1361652.84,2827442,1862421.062,118455.5444,2419970.7,46867733,6349718.6,2911762.69,8469626,7552103.2,6334278.7,2919772.8,4742373.602,10764829.2,829853.2,2887216.6,12226025,17355406.82,1223367.78,17966743,81590.83,28787326.2,1956150.004,8883752,17752111.6,8947261,62651.45,22185481,1578114.47,6.93E+03,0,3620396.15,9242.8068,8.33E+03,8252878.73,6477476.3,0,74630377,4010095.704,485424.44,9.77E+05,437995.9,4642518.59,2698625,6918851.8,4225756.26,17118405,1379757.7,7405870,1001237.717,4031961.384,2053330,3939504.149,1437649.2,1218531.1,4277743.2,437239.14,10127273,843282.1,474230.99,9018685,1522382.687,173297.255,4863667.678,7097861.387,63448.728,1696397.4,137117.1769,302630.184,128785.38,3360549.6,0,13013.8391,2994908.55,317045.5222,156793597.5,48183620.01,16210.07,12160035.24,3217645.082,45832.14,3647896.76,9634540,549823.39,5.11E+07,9890281.824,2367624,994550.86,1808451.771,34016.57,83230.954,2847464.6,0,662107.4385,193110.48,1.37E+05,39999623,3010745,5.56E+04,901354.8,362773.7,246896805,258727582,13326.652,1514830.2,243495.1,21303032,2463853.9,604271,693321.327,3871299.9,1776119.7,0,68625.31,1222502.6,102588.46,1029314.3,1057475.65,38078.616,6911931,544807.5,42263.679,1889134.278,2944270.17,15358.848,907218.1,226960.5,690447.778,3292674.4,995797.2,875580.32,1619938.3,0,73296.766,947836.9633,3328110.1,3048128.7,613384.71,1343056.7,453303.13,850098.23,34788775.6,6092018.76,5877191.09,20540024.1,700591.86,299310.42,287091.47,479564.2,7317.049
S13,Chickpea,60186339.6,22842258,8485109.485,6769898.8,11943174,7950754.9,2647648.7,3679078,13017135,2797184,380212.3,3237240.6,941269.4,695858.2,43061287,3895988.37,72579628,2780803.9,495844.3358,39390208.17,6377041.966,29965145.3,1758489.1,6532012,1.19E+07,60585708,10595053,222195510,5863.868,191706651,15671729,24192594,192761597,0,79884207,58634845,6674188,31454.772,648854.73,53021196.5,0,27500.18,73747.4091,9733836,17775156,12618.921,1127483.7,24404297,40091609,705561.95,3015118.8,1061145.1,1.15E+05,14276224.3,4814.236,794535.237,10296884.08,2730354.67,2381735,20278215,30137.26,19802681,1523507.635,14440444,699386.6,2527453.1,15112622,13695817.4,3484071.1,6105008,93742827,1219362.91,0,10126631,8287051,1798251.45,72553215,1093969.5,538583328,23555259,22275.64,257129650,598057.699,1628927.535,3748666.7,216528367,7960592.8,298657.3,6705591,6327537.1,7945153,2028420.9,54894485.15,8444052,3616511,1768306.8,6198146,10930892.19,1190926.12,1064646,0,7144064.9,976308.227,13410096,456980.5,10688109,91573.75,4084751,1374961.97,1.07E+04,860499.6,112379.96,10601.2012,1.33E+03,6971955.02,10089301.1,0,124819895,15960664.51,259364.18,7.83E+05,718658.1,4023249.39,2270873.1,7440955.9,2631984.38,16574435,1706535.52,5364495,704275.2318,1264712.592,1723754,1520298.747,890518.2,912276.7,1037835.4,54335.541,5268653,6969.387,239863.39,6757985,1940937.959,0,6476352.818,1387583.364,27955.023,1436174.6,1292.7343,60924.016,116524.87,966602.2,0,3649.042,62909.98,24853.5153,1804879.52,45947.508,80718.4,379412.421,8398.791,278890.13,91103.53,5984950,609297.82,0.00E+00,654214.823,1601669,322500.65,146151.303,293247.96,269136.1703,3568167.2,55343.32,13491.8083,145084.24,7.69E+05,19503996,2309013,8.18E+04,590797.6,247221.2,218583435,54788400,20682.794,1908629.4,1214843.4,13914724,1807144.6,1798955.4,1315066.004,328242.8,714294,116818.28,440029.18,1116260.9,197923.16,649312.3,553093.38,14256.015,2723812,177528.9,181011.378,17763464.14,292106.5,4660.497,801001.2,731220.8,1979083.055,3620307,3143075.8,61853,193997.5,488560.5,60230.492,3316.5927,2083989.9,1311739,193619.63,284021.9,164981.69,686702.5,948857.6,426642.86,3738198.95,23191513.6,445726.78,413359.38,283854.55,738314.6,3112921.537
S14,Chickpea,41444596.1,30438218,542281.6333,19323904.3,27217312,766950.6,1767624.1,9726651,15608318.7,3631932,468888.3,1502057.8,708785.6,924220.4,68298631,3622330.02,95036255,7065854.5,272877.8383,36212356.58,629326.796,206035.3,0,22451680,4.90E+07,83666808,9585230,285238214,84673.013,251411494,17794325,33262471,108935270,0,100221236,107164563,13966589,171612.056,0,15086332.4,3380500.37,510306.47,1297081.497,28317793,33920606,1730601.127,1834086.8,16731552,29037047,3177808.19,852313.9,9525701.8,3.29E+05,9513170.7,28991676.07,14271.127,531702.79,43351.67,362759,7052781,87352.87,14598741,7448803.394,19682833,6712476.5,9556326.4,6421243,5383.195,4660396.3,8528252,45593944,438641.99,428172.2,1069382,1869613,291940.23,88712855,566689.9,10166101,15196850,1995151.75,7002552,43442.641,6137.6645,3359409.3,254922,2770544.4,493195.93,6643745,403479,4651460.4,1398461.5,4222.675,12794732.8,2876298.15,2182341.9,1079492,0,0,0,2492917.61,2587599.5,446813.953,9835259,785287.3,7652431,0,17758613,3329204.41,1.71E+04,974073.4,12058763.26,8613.6181,2.87E+07,3961793.64,4857589.4,210662.853,8396111,7623.871,720839.41,1.39E+03,939291.3,6211364.84,5128100,2256965.7,154093.35,29844191,81781.54,9628090,4246769.009,980.3966,2131111,7700228.829,990490.9,776520.3,1620191,524570.875,1845888,3518.466,593357.58,9583889,2671.0732,278944.469,3180.638,874924.479,50853.045,1850216.1,983.5283,29717.008,53242.85,728211.8,54676.527,1101217.18,405993.85,23599.0559,8060877.57,0,129080.64,990168.177,84334.804,301404.14,243135.15,6874848,372877.51,9.78E+02,267953.784,1057392,252440.98,11603.442,211698.11,1244.4608,3300378.3,0,1058.873,154983.08,2.74E+07,6398245,4376371,1.29E+05,489585.3,181592.3,311329308,290946262,38889.283,825195.5,448687.7,1456555,2864905.1,341725.1,1660.8425,184820.3,888242.5,0,339653.81,1483053.9,176115.81,224186,1097907.61,93644.523,2137734,0,37593.152,2655.582,906104.1,9847.167,719386.9,173161.8,1693029.333,368968,2430887.2,87898.49,183620.1,863027.88,111784.08,1298.5498,1543802.4,5957622.9,766185.85,1061861.9,424228.38,290859.64,0,525188.08,131082.24,207223.6,81723.45,229747.34,1016338.63,324688.4,10164.913
S15,Chickpea,39300468.9,23306731,2854225.484,9281573,16918178,3942735.2,4089053.4,5655723,11589547.2,2744677,461892.3,3448254.6,1517137.8,372573.1,51860703,2867347.53,72087274,4337881.7,213864.8444,31702854.33,6312408.371,25125395,3003294.4,13784742,6.58E+07,65910226,7856440,227613936,92457.44,201250224,15437121,25300243,135077137,0,74842338,66752898,14782523,0,0,13318094.6,2770308.77,0,1884614.26,23884714,18444631,1405860.585,2038309.5,13309619,24135653,0,1540910.9,2209425.5,1.87E+08,7658788.1,10933019.29,9500.653,354226.54,191915.96,1475583,13148842,11428947.54,59994613,7432801.954,16148107,4104113.3,8584848.8,3293485,0,1732806,6705750,71425194,17939.53,851697.1,12594193,4614370,897721.39,59779901,354308.7,73042354,12999517,1917836.75,3632025,0,0,2312728.7,202396,361003.4,178216.1,4476811,435731.8,345563.5,1418883.6,0,9045156.3,617736.55,1624874.3,2250019,0,0,1151354,7197055.91,2827033.3,643183.962,5486835,3570822.5,4631898,0,6307153,599634.78,1.16E+07,1428985.98,7325431.75,0,3.95E+03,4016774.96,3584427.7,389509.773,7258417,0,399764.07,1.49E+03,718285.7,5110635.7,1639494.2,2112868.1,934473.6,10708083,392451.14,5519517,533933.7099,1192.3685,1874345,8358751.815,844463.1,1030353.9,5459134,608750.842,7514607,326596.251,218649.54,7380439,1478.8636,205761.458,1758.439,7419500.187,8080.109,1156958.9,1164.6237,6487.441,21432.73,537857.9,21897.755,58634.8297,1415564.41,524.3565,241548970.1,55137021.78,19497.81,22448898.78,5077819.832,16056.02,5612537.36,3230971,307529.96,2.39E+07,16745765.36,1859385,6768723.42,739416.573,70799.37,1472.3298,2476538.7,0,3133.1074,0,3.29E+04,12233658,2389997,7.10E+04,539446.3,1451275.9,227311468,237966988,31690683.07,1596927.9,883458.1,17099488,1181528.7,0,1662180.865,254831.9,1226151.6,0,16147.38,482725.6,396100.92,1311213.1,980965.36,778608.354,10118917,514228.6,17084.559,0,2376037.5,19043.637,570114.3,0,1042082.799,1022252.2,931899.6,35800.07,206890.7,942483.76,15789.496,777.7998,2812718.1,3097744.4,458962.5,1131068.8,223253.44,268263.89,338000.1,4779473.79,134121.18,434232.4,410460.87,174369.61,180088.5,415950.7,1482676.793
S16,Chickpea,43897640.1,18237022,6013622.49,3096487.9,12021361,5684905.8,2444725.9,2685974,1133354.8,2276431,349960.7,1066558.2,1588450.2,577174.7,34406226,1876677.38,56612104,1297509.5,1571776.896,769305.84,5173.426,681780.7,2186333.9,10723937,0.00E+00,46632953,4359631,178767509,0,145576023,17165753,17998493,233236327,0,60406002,41104226,3535002,0,0,135026.6,547016.43,933564.06,0,4335078,12752621,2601.072,1500911.2,225705048,350959870,1223431.32,0,6197969.1,1.15E+06,2366577.8,7399.35,42373.692,11726520.86,0,2135316,20610924,331419.19,109620445,9788.122,13994851,2678888.5,673664.6,10915396,12977619.67,1842326.6,4780794,386309364,347186.34,215163.9,7585413,8674167,6259375.74,325176074,9286107.7,362875933,67292453,11733.61,185782099,781891.115,3067296.403,2282355.5,306633844,3740619,1577997.7,5438157,6713064.1,3725179.2,2368119.4,26166786.54,6176243.6,57919.23,0,8522095,15325259.55,1437833.59,11615294,3120485.79,92167283.5,2440620.374,4932320,11412462.5,24202641,118360.57,9561938,0,2.64E+01,8522689.71,89725.47,1302084.552,3.55E+03,884798.19,36726926.7,0,105578830,5196329.957,14942.63,7.09E+05,1098112.8,2507291.99,225116.9,4695548.6,1913923.01,5776738,1018539.28,3196330,428843.9359,3102598.197,1154865,1487.215,581103.2,434521,1575364.5,1291.082,4114537,172455.31,4264.12,4343397,980219.2356,1475.126,2966564.704,289002.069,228420.945,573648.1,44773.2297,969983.893,1046499.29,7836679.1,39081.743,36323.8183,379560.01,817754.604,3186969.82,110848.411,5502.22,139506.352,14354.373,269134.14,69504.42,5216275,40401.47,3.65E+03,178110.699,1360250,11476732.26,6311.187,278931.01,11419.3035,1307252.6,0,473447.6907,52644.83,7.62E+03,19475951,1662296,2.79E+04,267584.8,206724.9,170194821,6796691,26058.634,53121787,1610273.9,10578853,11279760.2,769753.9,53842.807,2521154.4,1025400.3,56936.41,66887.73,623455.6,77802.09,355714,288499,1341529.918,3149859,330202.1,3268.759,10444300.48,1372335.6,5324.363,149508.8,439301.4,1994.33,1960473.2,1119711.1,396990.94,315199.2,615643.39,21107.455,186275.555,4078887.8,378357.4,75643.72,406805.7,57805.17,1149287.97,9737683.9,0,696491.89,36520347.8,607550.5,1445222,1566833.27,1124091.1,951991.687
S17,Chickpea,53845030.6,24479668,9538927.913,9651323.6,10131429,8566334.3,3146330.9,3910021,7602342.6,2781158,1070911.7,3135133.9,1205711.9,747117.3,52874020,3360036.31,74174276,3831608.2,1226931.9,52930904.24,5157547.663,54578092.7,1544529.4,32341811,3.14E+07,61915624,6911745,224322912,0,194998071,18327633,24309615,397518396,0,80733237,62791936,11746259,94936.949,0,47053635.2,2199691.73,684445.3,603513.256,21955671,18296074,690102.029,1003226.1,221412775,346095609,0,2141789.8,1144780.8,0.00E+00,14409151.5,6455.79,6870030.417,6863246.24,2650786.11,3943227,45265151,38723.96,15264372,5255007.021,15927407,4422502.9,7319146,12764744,4760920.855,2163056.8,6661939,185855359,1208323.24,289876.2,12164376,8916963,2310069.63,66536219,4064590.7,496404643,39159393,927013.28,192273051,1521680.748,505638.3393,2780207.2,84454581,6785568.5,668327.57,6280724,6878197,6770128.6,2370400,23005675.56,9596076.9,8481629.16,966565.1,3324152,114408.34,888795.95,11598493,0,17338401.1,1055339.968,5378964,10793198.6,53612653,106692.66,10140846,982927.3,1.46E+04,15929030.64,121058.4,8979590.948,1.02E+04,6732725.84,11111797.5,0,78328800,8223547.773,468457.34,1.58E+06,611734.1,3455777.11,1543916.7,4527844.3,2772209.4,17093891,976948.26,7396779,633799.7371,3633830.441,1593153,4035386.614,762157.3,880857.8,2226033.5,194405.132,6995869,430283.846,379593.46,6409724,1682180.911,84567.89,5389351.331,1053065.506,4038.528,1313322.4,528288.7526,943988.136,1388223.05,7725139,0,662947.5504,140288.85,806740.2437,3088642.25,0,109140.92,1076956.367,19022.927,249568.32,162646.31,9500797,610582.9,0.00E+00,340618.768,1633334,44371.81,7816.788,197585.27,2039226.641,2472924.1,105930.73,191245.4947,124175.98,2.53E+03,41459796,2794122,9.46E+04,733234.9,225331.6,238854759,154773157,6158.271,435152.7,85222.4,16874491,2123094.1,969242.1,361.9815,862684,1755682.5,0,658335.46,851307.8,0,0,623243.69,327986.835,2975636,596907.4,41928.304,9205642.075,3804244.61,12172.945,536659.2,281258.9,1343.841,1648610.1,817672.5,187674.08,534531.5,747873.59,44667.404,182002.3703,2445946.5,4218557.5,222010.63,272245.4,144837.43,609705.42,11174374,108393.32,1921274.56,22230921.5,229544.78,426881.37,402725.3,1153325.8,2309545.014
S18,Chickpea,60963983.1,31431346,7192324.857,3173998.4,19318324,12030380.7,6721669.7,10601121,25001835.9,3619686,2160314.6,1345138.8,1090521.9,727133.8,83819654,279301.94,112332199,9173322,4826947.935,47486320.04,6883.652,61132726.9,3300227.5,13042228,2.60E+07,99775895,1761598,335478902,55968.724,299688002,20867628,37968989,741664652,0,124377364,110138847,15027810,95602.515,0,141793603.4,308465.58,293713.23,551868.8722,34157531,33010529,2353408.493,3366253.9,478185740,738434654,66574.48,306056.7,3917373.6,1.12E+04,114405233.3,142397.171,136767.243,14171849.68,13416652.89,4623487,55521672,69436.66,43223528,5075367.644,18647035,9426908.1,11153001.6,17497678,662587.798,4058844.3,10118738,1128736287,259931.42,0,22652410,8754355,16374698.12,80480620,33537511.9,496787267,35545448,967150.58,219541961,3733939.365,5597.8405,5833346.6,21917643,2739506.4,676137.06,9957449,3412380.3,2724066.6,1412033.9,4588182.225,12177676.6,90793605.5,2388180.3,7931104,5428032.13,36355.52,7755110,0,62397334.8,596971.381,10390646,9402418.1,50870862,0,5229939,89898.35,1.81E+06,28540732.04,178766.09,8540333.944,7.97E+03,2590939.34,5814175.7,0,19516240,313050.374,391380.42,6.21E+02,1446225.9,7403203.99,3789344.3,5743143.3,5371067.41,9008497,1228310.15,8432189,1197541.525,155595.6802,2336143,4663621.624,0,1433181.2,2027022.2,346800.802,11695704,1339244.651,605715.39,11311132,2843.2056,136498.611,186056.788,499624.362,107750.435,2267651.9,4129382.494,2000696.553,994973.13,16806415.4,0,2456634.009,178139.68,1931066.961,2518937.84,0,80895.56,607077.595,13553.508,567282.13,51306.69,12634360,4314926.15,1.16E+04,327862.235,2119501,328259.49,8488.361,625542.36,57615.5244,743189.7,0,913408.3568,0,9.74E+02,44312271,3348350,1.66E+05,1022797,359849.2,285334088,316321127,12435.919,399618.8,5269486.4,29773503,3844697.3,2440334.5,863380.4305,6340482.9,2584916.7,108485.44,584896.92,1709368.3,133414.24,485067.9,1913178.24,18694.051,4732171,950449.4,13598.785,1141829.698,736029.53,7184.993,261532.9,471912.8,1764201.555,2620062.6,1697145.7,376160.61,565371.1,545713.41,123414.089,19130.998,566324.2,16984770.3,886692.42,790166.9,728511.09,417519.53,6632740.1,562241,1775088.21,19653225,429845.38,257991.7,1580986.26,2724421.2,2160807.123
S19,Chickpea,37819745.6,19204349,4290963.368,11596253,18271739,5959427,4124753,4472925,5944041.7,1903533,1214929.6,2263030.3,1032438.2,517370.4,51631576,1635910.5,74367039,1755272.8,387240.7919,35878839.52,17718229.85,33635805.3,0,5365501,3.42E+07,59988559,4050965,227450745,0,193175838,14701504,23155286,246335295,0,82872599,60086603,10400635,49551.554,0,11272373.5,2581341.61,0,745235.8328,27796082,17778765,1450567.744,1983487.6,380213790,584063166,0,534370.2,10777575.6,5.29E+04,16266005.3,7102376.213,212268.118,983841.1,2018980.43,2933036,29693571,0,7482879,1735144.306,15505288,1864376,9877659.8,5000790,200662.46,628703.7,6072167,119811413,912529.67,504548.1,12785757,5113688,1632117.48,76093740,1794066.5,12766496,17933678,352672.67,5106677,13610273.95,87606.0091,335491.4,63357338,5352532.8,197906.2,2093409,8069474.4,5337092.9,2321545.6,3393271.44,8702645.6,776271.24,1732432.5,4475458,19489285.16,4099132.71,3194758,1210265.04,2349952.4,554497.687,7031843,1262682,3944775,70259.33,3388408,1529043.48,4.26E+04,2527867.63,115426.26,3655.4891,0.00E+00,3212991.65,3452865.7,0,51442739,12242179.61,266979.21,1.99E+03,635281,3476309.06,2442859.2,3960491.7,3161700.95,15862198,748693.42,2757389,749238.7876,131355.8606,1779125,4848769.539,145796,682816.2,721820.9,213675.464,7585311,324450.839,43106.47,7498673,591370.8336,114572.946,1923035.511,778340.001,0,1406292.7,1164187.103,1662488.835,1084423.88,13323516.6,0,2606349.042,11829.24,1473675.762,779535.52,41050.717,153966.67,4523.173,11495.181,187426.44,572235.45,8867137,686076.84,1.93E+02,0,2424382,0,7243.337,75297.44,98893.6168,1228535.6,10759.08,74169.0263,32987.45,4.50E+03,28197846,2624187,9.34E+02,458244.3,153488.9,238397028,244335887,5777.36,359279.6,1032511.2,18372880,757593.9,1393215.3,1641718.844,513426.3,1255860.7,61950.32,486730.35,300117.6,0,0,10628.36,9328.127,2195289,1607796.6,107213.843,1384341.164,406622.34,103441.492,204156.3,379247.2,528287.863,2016192.2,887791,15037.85,327836.2,737098,0,3369.1431,1085966.5,1497051.8,227617.14,728355.6,118952.88,271976.52,1271205.1,0,1020725.89,21205260.2,109702.85,158238.58,189231.54,219937.4,0
S20,Chickpea,40851069.6,22921551,1077500.427,6016272,12280025,536923.2,317262.3,6848539,7836799.2,3147920,220272.4,1261325.8,1303646.5,518776.3,48477642,2064201.82,82279381,2808752.2,566562.6421,31132656.49,1840708.185,50165326.5,1759684.3,20759138,8.30E+07,67363139,7159700,238603452,68866.929,208287409,14289351,26211667,201592378,0,86715027,85555649,10054668,0,0,3266100.3,5181696.46,0,2402693.111,23190301,22985862,1016847.884,427938.1,155253569,242621390,0,2293670.7,5673464,2.18E+05,53869476.5,12449001.41,3514152.666,248182.33,4611794.27,1792394,16427141,40205.06,8651691,7322482.465,17694532,3153225.9,7288471.5,6531426,74630.148,2355896.1,6681503,82506069,316002.13,0,4713473,4475160,1208911.86,57315711,862553.7,9160122,41009482,1638704.83,4359926,1818244.559,1893.931,6572957.9,3818266,5231221.4,156099.56,12269698,9176981.2,5215781.6,1358412.2,7316798.092,11721252.6,81609526.64,1907030.1,3985310,21992639.66,3839238.16,1895004,1604944.01,9525427.9,380701.413,12030405,5386506.1,4413677,194037.1,9905423,1241642.19,1.00E+04,120119.28,179843.87,7968.6857,3.93E+06,3325485.07,4323068.6,221743.885,9002959,1179547.164,488020,2.78E+05,417730.4,2233598.91,3163566.8,3826228.9,1663395.56,10300079,0,7749143,2310518.14,655068.1793,1728300,10517579.01,610213.5,936058.2,1072586.4,741399.209,2230524,251185.173,192315.3,6215825,37495.5481,389749.824,487054.857,813034.253,120437.863,1217799.5,294597.1628,642501.095,55238.81,5177046.7,183406.517,1933875.288,129631.76,522826.7132,1246035.72,22655.936,128684.17,328093.361,10004.105,94693.68,225221.19,6898822,2142718.74,0.00E+00,4500.094,2205104,155107.53,7664.378,576069.88,976925.9861,2417034.3,60995.04,0,0,1.46E+07,15296836,2413685,1.39E+05,396973.7,198724.1,221622408,224042680,6983.49,860682.7,494600.8,6731861,2204879.1,2885063.5,1236704.945,256541.8,1236314,275639.84,167598.23,861399.7,0,0,96636.79,15665.193,2227973,487000.8,492904.31,2537182.411,49988.88,3042081.476,380618.9,741416.2,260025.348,1809959.9,3714284.3,36920.09,391247.7,321974.92,41293.31,0,1172420.5,5752202.2,178271.17,469048.8,272476.76,255904.92,193795.3,383062.69,1222294.29,442652.3,228402.7,200791.73,64491.54,907906.5,4510502.51
